name,description,price,image,modelUrl,downloadUrl,category,createdAt
火星地形模型,"高精度火星表面地形3D模型，适合科学展示和教育用途。包含真实地形数据，细节丰富，支持多种渲染引擎。",29.99,https://images.unsplash.com/photo-1614728894747-a83421e2b9c9?w=800,/models/mars.glb,https://download.example.com/models/mars.zip,科学,2025-01-15T08:00:00.000Z
现代办公楼建筑,"精美的现代办公楼3D模型，适合建筑可视化项目。包含完整的外立面、玻璃幕墙和周边环境。",49.99,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=800,/models/office-building.glb,https://download.example.com/models/office-building.zip,建筑,2025-01-14T09:30:00.000Z
游戏角色-战士,"游戏级别的战士角色3D模型，包含完整骨骼绑定和多套动画。支持Unity和Unreal引擎。",79.99,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=800,/models/warrior-character.glb,https://download.example.com/models/warrior-character.zip,角色,2025-01-13T10:15:00.000Z
北欧风格家具套装,"现代北欧风格家具3D模型套装，包含沙发、茶几、边柜等。适合室内设计和可视化渲染。",39.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800,/models/nordic-furniture.glb,https://download.example.com/models/nordic-furniture.zip,家具,2025-01-12T11:45:00.000Z
跑车模型-法拉利488,"高精度法拉利488跑车3D模型，包含完整内饰和外观细节。支持PBR材质，渲染效果真实。",89.99,https://images.unsplash.com/photo-1583121274602-3e2820c69888?w=800,/models/ferrari-488.glb,https://download.example.com/models/ferrari-488.zip,交通,2025-01-11T14:20:00.000Z
热带植物模型包,"包含20种热带植物3D模型，适合景观设计和游戏场景。每个植物都有多个LOD级别。",19.99,https://images.unsplash.com/photo-1463936575829-25148e1db1b8?w=800,/models/tropical-plants.glb,https://download.example.com/models/tropical-plants.zip,自然,2025-01-10T15:30:00.000Z
中式古建筑-亭台楼阁,"精美的中式古建筑3D模型，包含亭台、楼阁、廊道等。细节丰富，适合文化展示和游戏场景。",59.99,https://images.unsplash.com/photo-1508804185872-d7badad00f7d?w=800,/models/chinese-pavilion.glb,https://download.example.com/models/chinese-pavilion.zip,建筑,2025-01-09T16:00:00.000Z
科幻飞船,"未来科幻风格飞船3D模型，包含完整的外观和内部结构。适合科幻游戏和动画制作。",69.99,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=800,/models/sci-fi-spaceship.glb,https://download.example.com/models/sci-fi-spaceship.zip,科学,2025-01-08T17:15:00.000Z
女性角色-魔法师,"精美的女性魔法师角色模型，包含多套服装和道具。适合RPG游戏和动画制作。",74.99,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800,/models/mage-character.glb,https://download.example.com/models/mage-character.zip,角色,2025-01-07T18:30:00.000Z
城市街道场景,"完整的城市街道场景3D模型，包含建筑、道路、路灯、车辆等。适合城市规划和游戏开发。",99.99,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=800,/models/city-street.glb,https://download.example.com/models/city-street.zip,建筑,2025-01-06T19:45:00.000Z
